id,age,gender,studyHoursPerWeek,preferredLearningStyle,onlineCoursesCompleted,assignmentCompletionRate,examScore,attendanceRate
S001,20,Male,25,Visual,5,95,87,92
S002,19,Female,30,Auditory,8,88,91,95
S003,21,Male,20,Reading/Writing,3,92,84,88
S004,22,Female,35,Kinesthetic,10,97,95,98
S005,20,Male,15,Visual,2,85,78,85
S006,19,Female,28,Auditory,7,90,89,92
S007,21,Male,22,Reading/Writing,4,88,82,87
S008,20,Female,32,Kinesthetic,9,94,93,96
S009,22,Male,18,Visual,3,86,80,84
S010,19,Female,26,Auditory,6,91,88,93
S011,21,Male,24,Reading/Writing,5,89,85,89
S012,20,Female,29,Kinesthetic,8,96,92,97
S013,22,Male,16,Visual,2,84,77,83
S014,19,Female,31,Auditory,9,93,90,94
S015,21,Male,23,Reading/Writing,4,87,83,86
S016,20,Female,27,Kinesthetic,7,95,91,95
S017,22,Male,19,Visual,3,88,81,87
S018,19,Female,33,Auditory,10,92,94,96
S019,21,Male,21,Reading/Writing,5,90,86,90
S020,20,Female,34,Kinesthetic,11,98,96,99
S021,22,Male,17,Visual,2,83,79,82
S022,19,Female,29,Auditory,8,94,92,94
S023,21,Male,25,Reading/Writing,6,91,87,91
S024,20,Female,36,Kinesthetic,12,99,97,100
S025,22,Male,14,Visual,1,82,76,81
S026,19,Female,37,Auditory,13,96,98,98
S027,21,Male,26,Reading/Writing,7,93,89,93
S028,20,Female,38,Kinesthetic,14,100,99,100
S029,22,Male,13,Visual,1,80,74,79
S030,19,Female,39,Auditory,15,98,100,99
